param n:=6;
param r:=4;
param s:=1;
param jactual:=12;

param: PARTITS: c:=
1 2 1 0
1 2 2 1
1 2 3 2
1 2 4 4
1 2 5 8
1 2 6 16
1 2 7 32
1 2 8 64
1 2 9 128
1 2 10 256
1 2 11 512
1 2 12 1024
1 3 1 0
1 3 2 1
1 3 3 2
1 3 4 4
1 3 5 8
1 3 6 16
1 3 7 32
1 3 8 64
1 3 9 128
1 3 10 256
1 3 11 512
1 3 12 1024
1 4 1 0
1 4 2 0
1 4 3 0
1 4 4 0
1 4 5 0
1 4 6 0
1 4 7 0
1 4 8 0
1 4 9 0
1 4 10 0
1 4 11 0
1 4 12 0
1 5 1 0
1 5 2 0
1 5 3 0
1 5 4 0
1 5 5 0
1 5 6 0
1 5 7 0
1 5 8 0
1 5 9 0
1 5 10 0
1 5 11 0
1 5 12 0
1 6 1 0
1 6 2 0
1 6 3 0
1 6 4 0
1 6 5 0
1 6 6 0
1 6 7 0
1 6 8 0
1 6 9 0
1 6 10 0
1 6 11 0
1 6 12 0
2 3 1 0
2 3 2 1
2 3 3 2
2 3 4 4
2 3 5 8
2 3 6 16
2 3 7 32
2 3 8 64
2 3 9 128
2 3 10 256
2 3 11 512
2 3 12 1024
2 4 1 0
2 4 2 0
2 4 3 0
2 4 4 0
2 4 5 0
2 4 6 0
2 4 7 0
2 4 8 0
2 4 9 0
2 4 10 0
2 4 11 0
2 4 12 0
2 5 1 0
2 5 2 0
2 5 3 0
2 5 4 0
2 5 5 0
2 5 6 0
2 5 7 0
2 5 8 0
2 5 9 0
2 5 10 0
2 5 11 0
2 5 12 0
2 6 1 0
2 6 2 0
2 6 3 0
2 6 4 0
2 6 5 0
2 6 6 0
2 6 7 0
2 6 8 0
2 6 9 0
2 6 10 0
2 6 11 0
2 6 12 0
3 4 1 0
3 4 2 0
3 4 3 0
3 4 4 0
3 4 5 0
3 4 6 0
3 4 7 0
3 4 8 0
3 4 9 0
3 4 10 0
3 4 11 0
3 4 12 0
3 5 1 0
3 5 2 0
3 5 3 0
3 5 4 0
3 5 5 0
3 5 6 0
3 5 7 0
3 5 8 0
3 5 9 0
3 5 10 0
3 5 11 0
3 5 12 0
3 6 1 0
3 6 2 0
3 6 3 0
3 6 4 0
3 6 5 0
3 6 6 0
3 6 7 0
3 6 8 0
3 6 9 0
3 6 10 0
3 6 11 0
3 6 12 0
4 5 1 0
4 5 2 1
4 5 3 2
4 5 4 4
4 5 5 8
4 5 6 16
4 5 7 32
4 5 8 64
4 5 9 128
4 5 10 256
4 5 11 512
4 5 12 1024
4 6 1 0
4 6 2 1
4 6 3 2
4 6 4 4
4 6 5 8
4 6 6 16
4 6 7 32
4 6 8 64
4 6 9 128
4 6 10 256
4 6 11 512
4 6 12 1024
5 6 1 0
5 6 2 1
5 6 3 2
5 6 4 4
5 6 5 8
5 6 6 16
5 6 7 32
5 6 8 64
5 6 9 128
5 6 10 256
5 6 11 512
5 6 12 1024;
